# Generated by mat-a11y - do not edit
# traufix.de | freelancermap.de/profil/robin-spanier
URL,Score,Status,IssueCount,Priority,TopIssue
Replies,88,warning,17,165,formLabels
Navigation,90,passing,22,146,colorContrast
Locations,70,warning,20,138,colorContrast
RichtextEditor,79,warning,16,130,matIconAccessibility
Administration,90,passing,15,129,formLabels
Referral,79,warning,16,113,colorContrast
ImpressumComponent,81,warning,12,112,formLabels
General,81,warning,13,101,formLabels
ChecklistProgress,81,warning,18,94,colorContrast
GuideIndexComponent,70,warning,15,87,colorContrast
AddDeadlineItemDialog,64,warning,12,77,colorContrast
Housing,87,warning,11,77,colorContrast
Replies,86,warning,10,75,colorContrast
Upgrade,71,warning,14,72,colorContrast
DayPlan,85,warning,8,68,formLabels
Housing,81,warning,8,68,formLabels
ContactInformation,83,warning,7,67,formLabels
Contact,78,warning,9,62,colorContrast
BudgetBreakdownComparisonComponent,79,warning,10,60,scopeAttrMisuse
Quote,85,warning,8,56,matIconAccessibility
CancelSubscriptionDialog,82,warning,8,56,matIconAccessibility
ChecklistAddDialog,77,warning,7,56,formLabels
ReserveDialog,82,warning,7,55,matIconAccessibility
DayPlan,83,warning,10,54,colorContrast
PresetExampleView,77,warning,8,54,colorContrast
GuestComponentDialog,79,warning,9,53,colorContrast
Landing,76,warning,10,52,colorContrast
WeddingRegistry,80,warning,7,52,clickWithoutKeyboard
DateCountdownComponent,85,warning,9,51,cdkLiveAnnouncer
RsvpTracker,82,warning,12,50,smallFontSize
BridalCouple,89,warning,6,48,matIconAccessibility
AddReplyDialog,86,warning,5,47,formLabels
RatingComparisonComponent,76,warning,8,46,scopeAttrMisuse
InfoCardsComponent,80,warning,8,46,colorContrast
ContactInformation,69,warning,7,43,matIconAccessibility
SeatingEditTableDialog,78,warning,6,43,matIconAccessibility
MasonryBoardComponent,70,warning,7,40,colorContrast
Messages,88,warning,6,40,matIconAccessibility
Countdown,78,warning,6,40,matIconAccessibility
ElementPairingComponent,79,warning,6,39,colorContrast
ImageUpload,88,warning,5,38,matIconAccessibility
TakedownProcedure,89,warning,4,37,formLabels
AssignableChecklistComponent,76,warning,6,36,colorContrast
TaskAssignmentTracker,80,warning,7,35,colorContrast
Faq,85,warning,5,35,clickWithoutKeyboard
WeddingAbc,86,warning,5,35,colorContrast
TitleImage,90,passing,5,35,matIconAccessibility
StyleQuizComponent,79,warning,6,34,colorContrast
TipCalculatorComponent,75,warning,7,33,smallFontSize
FilterCards,85,warning,5,33,colorContrast
