# Generated by mat-a11y - do not edit
URL,Score,Status,IssueCount,TopIssue
Locations,79,warning,20,colorContrast
Navigation,95,passing,20,colorContrast
ChecklistProgress,81,warning,14,colorContrast
GuideIndexComponent,73,warning,15,colorContrast
Upgrade,81,warning,12,colorContrast
Landing,80,warning,13,colorContrast
Referral,89,warning,10,matIconAccessibility
RsvpTracker,83,warning,12,smallFontSize
Housing,89,warning,11,colorContrast
AddDeadlineItemDialog,73,warning,11,colorContrast
BudgetAllocator,86,warning,8,smallFontSize
PrintableChecklistComponent,78,warning,5,touchTargets
VendorTimeline,90,passing,8,smallFontSize
DateCountdownComponent,86,warning,9,cdkLiveAnnouncer
BudgetBreakdownComparisonComponent,79,warning,10,scopeAttrMisuse
AssignableChecklistComponent,79,warning,6,colorContrast
QuantityEstimatorComponent,75,warning,8,smallFontSize
TaskAssignmentTracker,77,warning,8,colorContrast
RatingComparisonComponent,76,warning,8,scopeAttrMisuse
MasonryBoardComponent,68,warning,8,colorContrast
TipCalculatorComponent,76,warning,7,smallFontSize
Quote,86,warning,8,matIconAccessibility
PresetExampleView,81,warning,8,colorContrast
CancelSubscriptionDialog,86,warning,8,matIconAccessibility
GuestComponentDialog,80,warning,8,colorContrast
BeforeAfterComparisonComponent,82,warning,7,innerHtmlUsage
OptionSelectorComponent,80,warning,6,colorContrast
GroupedChecklistComponent,85,warning,3,colorContrast
PriorityChecklistComponent,78,warning,1,prefersReducedMotion
QuantityChecklistComponent,79,warning,2,colorContrast
AddSimpleItemDialog,69,warning,2,matDialogFocus
StyleQuizComponent,77,warning,7,colorContrast
TaskOrganizer,75,warning,6,smallFontSize
FilterCards,86,warning,5,colorContrast
GuestEstimatorComponent,86,warning,5,cdkLiveAnnouncer
SimpleCalculatorComponent,82,warning,5,smallFontSize
FeatureMatrixComponent,78,warning,4,contentOverflow
Contact,89,warning,7,colorContrast
ContactInformation,73,warning,7,matIconAccessibility
GuestFooter,82,warning,7,colorContrast
Replies,90,passing,5,colorContrast
Administration,94,passing,7,matIconAccessibility
CollapsibleStepsComponent,77,warning,4,innerHtmlUsage
InfoCardsComponent,85,warning,5,colorContrast
TabbedContentComponent,76,warning,5,colorContrast
AddCategorizedItemDialog,69,warning,4,matDialogFocus
NotesChecklistComponent,81,warning,2,focusWithinSupport
SeatingChart,80,warning,4,colorContrast
BudgetPriorityQuiz,85,warning,4,colorContrast
MultipleChoiceQuiz,85,warning,2,colorContrast
ScenarioQuiz,70,warning,4,contentOverflow
ExpertTipCarousel,82,warning,4,innerHtmlUsage
BudgetCalculatorComponent,86,warning,5,contentOverflow
CostSplitterComponent,86,warning,4,smallFontSize
SavingsTrackerComponent,86,warning,4,smallFontSize
Messages,88,warning,6,matIconAccessibility
WeddingRegistry,86,warning,6,clickWithoutKeyboard
Countdown,83,warning,6,matIconAccessibility
DayPlan,93,passing,6,colorContrast
Freetext,77,warning,5,colorContrast
FeatureComparisonComponent,84,warning,4,colorContrast
InteractiveChecklistComponent,80,warning,3,colorContrast
ProgressChecklistComponent,85,warning,2,contentOverflow
WordCountTrackerComponent,85,warning,5,colorContrast
ColorPaletteComponent,85,warning,5,contentOverflow
StyleMixerComponent,86,warning,5,contentOverflow
ChecklistAddDialog,79,warning,5,clickWithoutKeyboard
CountdownTimer,82,warning,4,lineHeightTight
SeatingEditTableDialog,85,warning,5,matIconAccessibility
CompatibilityQuiz,84,warning,2,colorContrast
MatchingPairsQuiz,78,warning,3,cdkAriaDescriber
RankingQuiz,85,warning,3,colorContrast
SliderScaleQuiz,81,warning,3,contentOverflow
MythBuster,80,warning,5,colorContrast
TimelineStepper,82,warning,4,colorContrast
DietaryRequirementsTracker,86,warning,4,colorContrast
SeatingChartTracker,86,warning,2,colorContrast
WeightedDecisionMakerComponent,91,passing,4,contentOverflow
MagicLink,79,warning,5,matIconAccessibility
PhotoAlbum,92,passing,3,colorContrast
BridalCouple,95,passing,5,matIconAccessibility
Faq,86,warning,5,clickWithoutKeyboard
WeddingAbc,87,warning,5,colorContrast
TitleImage,92,passing,5,matIconAccessibility
ReserveDialog,89,warning,5,matIconAccessibility
DragDropTimelineComponent,87,warning,3,colorContrast
InteractiveSliderComponent,82,warning,3,innerHtmlUsage
TipCarouselComponent,80,warning,2,innerHtmlUsage
AddPriorityItemDialog,75,warning,4,matIconAccessibility
ElementPairingComponent,85,warning,4,colorContrast
SeasonalFilterComponent,86,warning,2,contentOverflow
BudgetAddDialog,81,warning,4,cdkTrapFocusDialog
MusicPlaylist,87,warning,2,smallFontSize
TimelinePlanner,85,warning,4,colorContrast
YesNoQuiz,83,warning,2,contentOverflow
ComparisonTable,91,passing,4,colorContrast
BudgetSpendTracker,84,warning,2,colorContrast
CountdownDaysTracker,82,warning,3,colorContrast
RsvpResponseTracker,86,warning,2,colorContrast
StatusDashboard,85,warning,3,colorContrast
PriceTierComparisonComponent,89,warning,3,contentOverflow
ProsConsCardsComponent,95,passing,2,contentOverflow
SwipeComparisonComponent,89,warning,2,contentOverflow
TimelineComparisonComponent,83,warning,3,colorContrast
GuideFooter,77,warning,4,colorContrast
PdfExportComponent,79,warning,4,touchTargets
SocialShareComponent,80,warning,4,colorContrast
Gifts,88,warning,4,contentOverflow
DayPlan,91,passing,4,clickWithoutKeyboard
Housing,89,warning,4,clickWithoutKeyboard
ImageUpload,95,passing,4,matIconAccessibility
Faq,83,warning,4,colorContrast
GuestImpressumPage,85,warning,4,matIconAccessibility
Organisators,95,passing,4,colorContrast
Quote,73,warning,4,smallFontSize
WeddingAbc,94,passing,4,colorContrast
PartnerDashboard,89,warning,4,matIconAccessibility
PremiumPreviewWarningDialog,93,passing,4,matIconAccessibility
FeatureInfoDialog,81,warning,4,touchTargets
PresetSelector,82,warning,4,contentOverflow
DragToArrangeComponent,86,warning,3,cdkAriaDescriber
ThemeExplorerComponent,84,warning,3,colorContrast
ImageSelectionQuiz,85,warning,1,prefersReducedMotion
PersonalityMatrixQuiz,89,warning,1,contentOverflow
ChecklistTracker,91,passing,2,colorContrast
FaqAccordion,84,warning,2,innerHtmlUsage
QuickTipsGrid,82,warning,2,contentOverflow
ComparisonCalculatorComponent,89,warning,2,contentOverflow
ROICalculatorComponent,86,warning,2,colorContrast
VendorPaymentTracker,90,passing,1,prefersReducedMotion
ComparisonTableComponent,95,passing,1,contentOverflow
Login,84,warning,2,focusWithinSupport
Signin,95,passing,3,colorContrast
Dashboard,90,passing,3,colorContrast
General,91,passing,3,colorContrast
StructuralOrder,92,passing,3,colorContrast
ClosingWords,75,warning,3,matIconAccessibility
ImageUpload,90,passing,3,colorContrast
AdminMagicLink,87,warning,3,colorContrast
Login,90,passing,3,colorContrast
ImageUploadDialog,85,warning,3,matDialogFocus
Footer,94,passing,3,colorContrast
ImagePreview,94,passing,2,visibilityHiddenUsage
ImpressumComponent,89,warning,2,colorContrast
StorageConsentBanner,93,passing,2,hoverWithoutFocus
MadLibsGeneratorComponent,95,passing,1,contentOverflow
MultiStepWizardComponent,95,passing,1,contentOverflow
ToneStyleSwitcherComponent,95,passing,2,colorContrast
SeatingAddGuestDialog,89,warning,2,autofocusUsage
SeatingAddTableDialog,89,warning,2,autofocusUsage
MilestoneTracker,90,passing,1,prefersReducedMotion
